id,title,tag,decade,image
1910-ward-map,1910 Ward Map,#Housing,#1930s,https://picsum.photos/seed/105/400/400
holc-redlining,HOLC Redlining,#Migration,#1910s,https://picsum.photos/seed/106/400/400
1890-sewerage,1890 Sewerage,#Redlining,#1980s,https://picsum.photos/seed/107/400/400
park-river-1930,Park River 1930,#Economy,#1960s,https://picsum.photos/seed/108/400/400
zoning-plan-1926,Zoning Plan 1926,#Zoning,#1940s,https://picsum.photos/seed/109/400/400
urban-renewal,Urban Renewal,#Nature,#1920s,https://picsum.photos/seed/110/400/400
1945-housing,1945 Housing,#Housing,#1900s,https://picsum.photos/seed/111/400/400
1950-highways,1950 Highways,#Migration,#1970s,https://picsum.photos/seed/112/400/400
colonial-plot,Colonial Plot,#Redlining,#1950s,https://picsum.photos/seed/113/400/400
charter-oak,Charter Oak,#Economy,#1930s,https://picsum.photos/seed/114/400/400
north-end-1920,North End 1920,#Zoning,#1910s,https://picsum.photos/seed/115/400/400
south-green,South Green,#Nature,#1980s,https://picsum.photos/seed/116/400/400
frog-hollow,Frog Hollow,#Housing,#1960s,https://picsum.photos/seed/117/400/400
blue-hills,Blue Hills,#Migration,#1940s,https://picsum.photos/seed/118/400/400
upper-albany,Upper Albany,#Redlining,#1920s,https://picsum.photos/seed/119/400/400
asylum-hill,Asylum Hill,#Economy,#1900s,https://picsum.photos/seed/120/400/400
downtown-1900,Downtown 1900,#Zoning,#1970s,https://picsum.photos/seed/121/400/400
manufacturing,Manufacturing,#Nature,#1950s,https://picsum.photos/seed/122/400/400
trolley-lines,Trolley Lines,#Housing,#1930s,https://picsum.photos/seed/123/400/400
race-overlay,Race Overlay,#Migration,#1910s,https://picsum.photos/seed/124/400/400
income-1960,Income 1960,#Redlining,#1980s,https://picsum.photos/seed/125/400/400
school-dist,School Dist.,#Economy,#1960s,https://picsum.photos/seed/126/400/400
flood-zone-a,Flood Zone A,#Zoning,#1940s,https://picsum.photos/seed/127/400/400
1936-inundation,1936 Inundation,#Nature,#1920s,https://picsum.photos/seed/128/400/400
park-systems,Park Systems,#Housing,#1900s,https://picsum.photos/seed/129/400/400
keney-park,Keney Park,#Migration,#1970s,https://picsum.photos/seed/130/400/400
elizabeth-park,Elizabeth Park,#Redlining,#1950s,https://picsum.photos/seed/131/400/400
riverside-map,Riverside Map,#Economy,#1930s,https://picsum.photos/seed/132/400/400
1970-census,1970 Census,#Zoning,#1910s,https://picsum.photos/seed/133/400/400
industrial-park,Industrial Park,#Nature,#1980s,https://picsum.photos/seed/134/400/400
pratt-whitney,Pratt & Whitney,#Housing,#1960s,https://picsum.photos/seed/135/400/400
wethersfield,Wethersfield,#Migration,#1940s,https://picsum.photos/seed/136/400/400
windsor-line,Windsor Line,#Redlining,#1920s,https://picsum.photos/seed/137/400/400
bloomfield-bnd,Bloomfield Bnd,#Economy,#1900s,https://picsum.photos/seed/138/400/400
east-hartford,East Hartford,#Zoning,#1970s,https://picsum.photos/seed/139/400/400
west-hartford,West Hartford,#Nature,#1950s,https://picsum.photos/seed/140/400/400
property-value,Property Value,#Housing,#1930s,https://picsum.photos/seed/141/400/400
mortgage-data,Mortgage Data,#Migration,#1910s,https://picsum.photos/seed/142/400/400
voting-blocks,Voting Blocks,#Redlining,#1980s,https://picsum.photos/seed/143/400/400
transit-hubs,Transit Hubs,#Economy,#1960s,https://picsum.photos/seed/144/400/400
