id,title,subtitle,description,year_start,year_end,dates_label,lat,lng,tags,collection_ids,image_url
1910-ward-map,1910 Ward Map,Municipal Wards,"Hartford's ward boundaries as drawn in 1910, the political geography that structured early-20th-century city life.",1910,,,41.7637,-72.6851,"housing, community","hartford-through-time, housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
holc-redlining,HOLC Redlining,Mortgage Risk Grades,"The Home Owners' Loan Corporation security map that graded Hartford neighborhoods and encoded racial exclusion into lending.",1937,,,41.7700,-72.6900,"housing, race","housing, routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
1890-sewerage,1890 Sewerage Plan,Public Works,"An engineering survey of Hartford's sewer infrastructure, revealing which neighborhoods received early sanitation investment.",1890,,,41.7650,-72.6750,"housing, community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
park-river-1930,Park River 1930,River Geography,"The Park River before its mid-century burial, tracing the waterway that shaped Hartford's western neighborhoods.",1930,,,41.7600,-72.6950,"mobility, community","flooding, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
zoning-plan-1926,Zoning Plan 1926,Land Use,"Hartford's first comprehensive zoning ordinance, dividing the city into residential, commercial, and industrial districts.",1926,,,41.7670,-72.6800,"mobility, housing","housing, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
urban-renewal,Urban Renewal,Demolition and Rebuilding,"Mid-century urban renewal zones that cleared and rebuilt large swaths of Hartford, displacing established communities.",1960,,,41.7640,-72.6870,"housing, community","housing, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
1945-housing,1945 Housing,Postwar Residence,"Wartime and postwar public housing projects mapped against the existing residential fabric of Hartford.",1945,,,41.7720,-72.6840,"housing","housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
1950-highways,1950 Highways,Interstate Corridors,"The planned highway corridors that would cut through Hartford neighborhoods in the following decade.",1950,,,41.7610,-72.6780,"mobility","routes-and-roots, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
colonial-plot,Colonial Plot,Founding Survey,"An early colonial-era plot map of the Hartford settlement, the city's oldest cartographic record.",1640,,,41.7660,-72.6730,"community, mobility","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
charter-oak,Charter Oak District,Civic Landmark,"The Charter Oak neighborhood mapped around its namesake landmark, a hub of civic memory.",1930,,,41.7550,-72.6720,"labor, community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
north-end-1920,North End 1920,Neighborhood Survey,"Hartford's North End in 1920, the heart of the city's growing African American community.",1920,,,41.7820,-72.6810,"housing, race, migration","housing, routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
south-green,South Green,Open Space,"The South Green commons and the residential blocks that grew around it.",1985,,,41.7560,-72.6790,"community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
frog-hollow,Frog Hollow,Industrial Neighborhood,"Frog Hollow, the dense factory neighborhood that drew waves of immigrant labor.",1960,,,41.7580,-72.6920,"labor, housing, migration","routes-and-roots, housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
blue-hills,Blue Hills,Residential Expansion,"The Blue Hills neighborhood mapped during its mid-century residential growth.",1945,,,41.7920,-72.6960,"housing, migration","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
upper-albany,Upper Albany,Commercial Corridor,"The Upper Albany Avenue corridor, a commercial spine of Hartford's northwest.",1920,,,41.7860,-72.7000,"housing, race","housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
asylum-hill,Asylum Hill,Institutional District,"Asylum Hill and its concentration of charitable and insurance institutions.",1905,,,41.7690,-72.6970,"labor, community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
downtown-1900,Downtown 1900,Commercial Core,"Hartford's downtown commercial core at the turn of the 20th century.",1900,,,41.7650,-72.6730,"mobility, labor","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
manufacturing,Manufacturing Belt,Industrial Geography,"The manufacturing belt along the rail lines that powered Hartford's industrial economy.",1955,,,41.7480,-72.6680,"labor, community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
trolley-lines,Trolley Lines,Streetcar Network,"The streetcar network that knit Hartford's neighborhoods together before the automobile age.",1935,,,41.7640,-72.6850,"mobility","routes-and-roots, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
race-overlay,Race Overlay,Demographic Distribution,"A demographic overlay charting the racial geography of Hartford's neighborhoods.",1910,,,41.7780,-72.6800,"race, migration","housing, routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
income-1960,Income 1960,Economic Distribution,"Household income distribution across Hartford in 1960, mapped block by block.",1960,,,41.7660,-72.6760,"labor, housing","housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
school-dist,School Districts,Education Geography,"Hartford's public school district boundaries and their alignment with residential segregation.",1965,,,41.7700,-72.6820,"education, race","housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
flood-zone-a,Flood Zone A,Flood Risk,"Designated flood-risk zones along Hartford's rivers and the homes that fell within them.",1945,,,41.7590,-72.6700,"mobility, housing","flooding",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
1936-inundation,1936 Inundation,Historic Flood,"The extent of the catastrophic 1936 flood that inundated Hartford's low-lying neighborhoods.",1936,,,41.7620,-72.6680,"community, housing","flooding, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
park-systems,Park Systems,Green Infrastructure,"Hartford's planned park system, from Bushnell to Keney, mapped as civic green infrastructure.",1900,,,41.7750,-72.6900,"community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
keney-park,Keney Park,Public Park,"Keney Park and the surrounding neighborhoods of Hartford's north side.",1975,,,41.7950,-72.6870,"community, migration","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
elizabeth-park,Elizabeth Park,Public Park,"Elizabeth Park on the West Hartford line, a planned recreational landscape.",1955,,,41.7670,-72.7110,"community","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
riverside-map,Riverside,Waterfront District,"The riverside district along the Connecticut River and its industrial waterfront.",1930,,,41.7600,-72.6650,"labor, mobility","flooding",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
1970-census,1970 Census,Population Tracts,"Census tract boundaries and population counts for Hartford in 1970.",1970,,,41.7660,-72.6840,"housing, race","housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
industrial-park,Industrial Park,Manufacturing Zone,"A postwar industrial park district on Hartford's southern edge.",1985,,,41.7400,-72.6700,"labor","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
pratt-whitney,Pratt and Whitney,Aircraft Manufacturing,"The Pratt and Whitney works in East Hartford, a major regional employer.",1960,,,41.7660,-72.6450,"labor, migration","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
wethersfield,Wethersfield Line,Town Boundary,"The Wethersfield town line on Hartford's southern border.",1945,,,41.7140,-72.6520,"mobility, migration","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
windsor-line,Windsor Line,Town Boundary,"The Windsor town line on Hartford's northern border.",1920,,,41.8520,-72.6440,"housing, migration","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
bloomfield-bnd,Bloomfield Boundary,Town Boundary,"The Bloomfield boundary on Hartford's northwest edge.",1905,,,41.8260,-72.7300,"labor, mobility","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
east-hartford,East Hartford,Across the River,"East Hartford across the Connecticut River, linked by the city's bridges.",1970,,,41.7660,-72.6120,"mobility","routes-and-roots, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
west-hartford,West Hartford,Suburban Expansion,"West Hartford's mid-century suburban expansion on Hartford's western flank.",1955,,,41.7620,-72.7420,"community, housing","routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
property-value,Property Values,Real Estate Assessment,"Assessed property values across Hartford, mapped against the redlining grades.",1935,,,41.7680,-72.6790,"housing, race","housing",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
mortgage-data,Mortgage Data,Lending Patterns,"Mortgage lending patterns that reinforced the boundaries drawn by redlining.",1910,,,41.7720,-72.6760,"housing, race, migration","housing, routes-and-roots",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
voting-blocks,Voting Blocks,Electoral Geography,"Hartford's electoral districts and the voting blocks that shaped local politics.",1985,,,41.7640,-72.6830,"activism, race","hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
transit-hubs,Transit Hubs,Mobility Network,"The transit hubs and transfer points that anchored Hartford's public transportation.",1965,,,41.7660,-72.6810,"mobility","routes-and-roots, hartford-through-time",https://live.staticflickr.com/65535/53778710552_01f2058482_b.jpg
